doctorName,email,phoneNumber,age,gender,specialisation,hospitalName,branch,time,password
DoctorY323,doctory323@gmail.com,9231220236,31,Female,oncology,star hospitals,banjara hills,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorP904,doctorp904@gmail.com,9103834054,39,Female,oncology,star hospitals,banjara hills,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorC813,doctorc813@gmail.com,9179052775,53,Male,nephrology,star hospitals,banjara hills,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorR946,doctorr946@gmail.com,9724862204,46,Female,nephrology,star hospitals,banjara hills,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorY145,doctory145@gmail.com,9378930491,34,Male,neurology,star hospitals,banjara hills,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorL213,doctorl213@gmail.com,9514645965,43,Male,neurology,star hospitals,banjara hills,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorU931,doctoru931@gmail.com,9325050233,43,Male,cardiology,star hospitals,banjara hills,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorY613,doctory613@gmail.com,9545328415,31,Male,cardiology,star hospitals,banjara hills,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorY973,doctory973@gmail.com,9406085861,60,Male,oncology,star hospitals,secunderabad,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorD340,doctord340@gmail.com,9974566686,51,Male,oncology,star hospitals,secunderabad,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorG761,doctorg761@gmail.com,9113140235,47,Male,nephrology,star hospitals,secunderabad,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorO159,doctoro159@gmail.com,9769123803,38,Male,nephrology,star hospitals,secunderabad,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorV917,doctorv917@gmail.com,9734568493,55,Male,neurology,star hospitals,secunderabad,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorV634,doctorv634@gmail.com,9527889953,33,Male,neurology,star hospitals,secunderabad,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorF723,doctorf723@gmail.com,9120233724,30,Male,cardiology,star hospitals,secunderabad,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorX112,doctorx112@gmail.com,9548258538,33,Male,cardiology,star hospitals,secunderabad,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorL162,doctorl162@gmail.com,9733920693,31,Female,gastroenterology,star hospitals,jubilee hills,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorM681,doctorm681@gmail.com,9484831928,43,Female,gastroenterology,star hospitals,jubilee hills,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorO600,doctoro600@gmail.com,9423229248,39,Female,oncology,star hospitals,jubilee hills,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorC217,doctorc217@gmail.com,9974270340,59,Female,oncology,star hospitals,jubilee hills,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorW755,doctorw755@gmail.com,9673888702,52,Male,nephrology,star hospitals,jubilee hills,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorZ343,doctorz343@gmail.com,9463088558,35,Male,nephrology,star hospitals,jubilee hills,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorI733,doctori733@gmail.com,9291904350,42,Female,cardiology,star hospitals,jubilee hills,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorY868,doctory868@gmail.com,9829749810,38,Female,cardiology,star hospitals,jubilee hills,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorZ681,doctorz681@gmail.com,9713412146,49,Male,gastroenterology,star hospitals,malakpet,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorJ526,doctorj526@gmail.com,9291994652,45,Female,gastroenterology,star hospitals,malakpet,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorI595,doctori595@gmail.com,9361089861,38,Male,oncology,star hospitals,malakpet,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorD591,doctord591@gmail.com,9797704595,46,Male,oncology,star hospitals,malakpet,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorD419,doctord419@gmail.com,9417063493,37,Male,neurology,star hospitals,malakpet,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorP189,doctorp189@gmail.com,9160949475,59,Male,neurology,star hospitals,malakpet,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorT324,doctort324@gmail.com,9184193801,54,Male,cardiology,star hospitals,malakpet,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorI110,doctori110@gmail.com,9538768361,49,Male,cardiology,star hospitals,malakpet,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorB756,doctorb756@gmail.com,9205988540,39,Male,gastroenterology,star hospitals,gachibowli,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
